,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year
15,Total all ages,24636,1796,4147,17,74,315,1390,643,3327,159,18,5392,122,827,92,346,850,343,31,99,3308,9.0,147,294,198,238,782,142,5449,0.0,24,,,DELAWARE,2020
16,Under 18,263,64,28,0,0,57,7,0,25,3,0,59,0,0,0,6,1,6,0,0,1,0.0,0,0,0,0,14,0,84,0.0,0,2.0,0.0,WASHINGTON DC,2020
17,Total all ages,4093,205,85,2,3,121,79,1,73,11,0,373,0,2,0,19,48,43,0,30,274,0.0,1,1,608,14,216,1,2173,0.0,0,,,WASHINGTON DC,2020
18,Under 18,31471,2702,8802,73,216,1012,1401,2313,4584,1866,39,5816,24,263,15,160,648,717,1,248,1537,0.0,0,134,282,0,0,0,10122,0.0,0,572.0,21634872.0,FLORIDA,2020
19,Total all ages,506402,34186,66397,840,1815,5464,26067,12554,46430,7156,257,75236,1207,8216,647,1301,5791,7470,940,2921,68471,109.0,0,29073,5993,0,0,0,198444,0.0,0,,,FLORIDA,2020
20,Under 18,6383,538,1190,15,55,120,348,222,839,121,8,1259,18,56,0,133,335,170,3,74,604,1.0,16,75,29,2,400,0,1374,0.0,106,289.0,6073704.0,GEORGIA,2020
21,Total all ages,110543,6002,11561,202,282,505,5013,1387,9355,717,102,11906,695,1653,8,1322,2642,1235,107,362,17294,9.0,686,12808,569,561,5171,823,35023,0.0,106,,,GEORGIA,2020
22,Under 18,340,19,35,1,4,3,11,7,22,5,1,39,0,1,0,0,13,0,0,0,32,0.0,3,5,16,0,2,0,104,0.0,71,2.0,273390.0,HAWAII,2020
23,Total all ages,10996,773,1089,26,54,405,288,176,709,186,18,709,13,45,1,0,146,161,13,23,847,1.0,3,1067,76,0,496,0,5462,0.0,71,,,HAWAII,2020
24,Under 18,3912,141,591,5,37,5,94,104,437,32,18,439,0,33,2,15,185,37,0,47,566,0.0,14,99,167,20,165,1,1300,7.0,83,98.0,1660406.0,IDAHO,2020
25,Total all ages,45397,1738,3371,68,145,58,1467,593,2584,149,45,3330,58,403,34,176,725,273,11,197,9153,0.0,529,6713,984,420,1425,26,15730,18.0,83,,,IDAHO,2020
26,Under 18,456,37,37,1,1,23,12,7,23,2,5,65,0,0,0,24,32,22,0,0,56,0.0,0,1,5,0,79,0,82,0.0,16,1.0,144795.0,ILLINOIS,2020
27,Total all ages,5615,407,434,13,15,53,326,49,355,13,17,1013,5,27,0,57,341,160,1,14,280,0.0,140,231,28,0,445,3,2013,0.0,16,,,ILLINOIS,2020
28,Under 18,4298,404,684,10,25,137,232,98,447,133,6,778,6,13,7,46,126,139,0,44,418,0.0,11,49,180,19,149,0,1175,0.0,50,109.0,3535979.0,INDIANA,2020
29,Total all ages,75450,3978,7915,130,142,648,3058,1004,5975,884,52,8426,515,626,79,376,479,2274,36,253,11978,2.0,299,8874,903,819,1880,34,25651,3.0,50,,,INDIANA,2020
30,Under 18,7019,490,1550,6,57,84,343,254,1029,237,30,1263,11,33,6,53,550,89,0,20,721,0.0,4,93,481,65,419,0,1085,0.0,86,216.0,2850739.0,IOWA,2020
31,Total all ages,78092,5129,9056,56,258,279,4536,1446,6862,642,106,7260,393,455,40,285,2049,914,11,93,8166,2.0,906,9190,2071,2483,1922,6,27575,0.0,86,,,IOWA,2020
32,Under 18,3248,125,366,8,12,15,90,37,287,37,5,555,3,11,0,43,213,18,1,21,549,0.0,10,103,474,0,86,0,670,0.0,0,220.0,1700866.0,KANSAS,2020
33,Total all ages,46140,1619,3542,46,83,88,1402,380,2853,272,37,6137,147,350,22,515,1364,384,30,108,7837,0.0,221,6192,1568,87,929,0,15087,1.0,0,,,KANSAS,2020
34,Under 18,1920,158,495,4,31,63,60,143,250,96,6,485,3,5,8,104,62,37,0,13,190,0.0,0,28,1,23,28,0,280,0.0,0,336.0,3713933.0,KENTUCKY,2020
35,Total all ages,141158,2105,9318,109,226,426,1344,2006,6535,712,65,9965,477,779,273,1558,963,407,15,177,17118,0.0,3403,12122,31,9101,2900,2,70444,0.0,0,,,KENTUCKY,2020
36,Under 18,8590,754,1804,46,52,189,467,714,872,208,10,1493,2,44,3,328,343,322,1,62,588,6.0,55,18,45,33,958,30,1544,1.0,156,114.0,3362830.0,LOUISIANA,2020
37,Total all ages,116373,8721,18062,329,313,910,7169,3653,13334,996,79,15397,357,884,82,2101,2976,3508,207,711,20052,46.0,838,3778,1014,1115,4742,145,31465,16.0,156,,,LOUISIANA,2020
38,Under 18,1689,37,388,0,6,13,18,93,219,55,21,349,0,9,1,3,174,1,0,26,121,0.0,2,22,226,1,56,0,263,0.0,10,129.0,1349630.0,MAINE,2020
39,Total all ages,32189,704,4136,12,62,110,520,454,3366,257,59,4431,118,301,20,105,961,130,37,112,3188,1.0,81,4095,910,3,860,2,11984,0.0,10,,,MAINE,2020
40,Under 18,709,81,279,0,7,58,16,102,126,51,0,79,0,0,0,1,31,30,0,8,110,0.0,0,3,19,0,10,0,58,0.0,0,6.0,1124569.0,MARYLAND,2020
41,Total all ages,8248,589,1851,16,83,170,320,305,1372,173,1,622,28,54,3,9,162,172,14,26,1386,0.0,23,1621,508,3,335,3,839,0.0,0,,,MARYLAND,2020
42,Under 18,3159,388,490,1,13,81,293,175,218,79,18,757,10,23,0,100,262,62,0,36,92,0.0,15,31,69,7,95,0,722,0.0,0,339.0,5984273.0,MASSACHUSETTS,2020
43,Total all ages,76381,5948,6310,39,254,534,5121,1102,4646,493,69,14781,247,565,44,787,1901,974,107,272,5708,10.0,1140,6597,598,1381,2085,12,26913,1.0,0,,,MASSACHUSETTS,2020
44,Under 18,7354,806,1487,20,130,152,504,326,881,257,23,1786,18,71,34,234,300,303,9,95,229,0.0,2,139,172,1,230,0,1323,0.0,115,621.0,9517637.0,MICHIGAN,2020
45,Total all ages,158199,12774,14782,347,753,1047,10627,2322,11088,1185,187,26410,498,2166,651,2121,2636,9312,211,482,10963,12.0,875,20416,2890,124,3678,42,47041,0.0,115,,,MICHIGAN,2020
46,Under 18,10504,747,2033,14,70,355,308,199,1457,349,28,1364,15,127,4,264,461,224,0,76,789,2.0,5,177,1034,0,834,0,1921,0.0,427,354.0,5269267.0,MINNESOTA,2020
47,Total all ages,112814,5424,17889,142,465,1014,3803,1857,14715,1201,116,12532,846,2904,44,2219,2337,2359,25,491,13875,6.0,300,16981,4106,23,5166,151,24709,0.0,427,,,MINNESOTA,2020
48,Under 18,1367,92,339,6,2,41,43,61,248,28,2,212,0,7,1,21,30,62,1,5,106,1.0,16,35,14,8,188,1,180,0.0,48,75.0,1135598.0,MISSISSIPPI,2020
49,Total all ages,35473,918,3541,95,60,182,581,625,2660,238,18,3095,99,320,124,338,318,667,9,80,5283,4.0,379,4727,248,1157,2280,12,11826,0.0,48,,,MISSISSIPPI,2020
50,Under 18,8644,714,1413,19,49,191,455,229,932,236,16,1414,16,33,24,356,381,131,0,69,893,0.0,32,135,293,6,572,1,1715,0.0,446,259.0,4935179.0,MISSOURI,2020
51,Total all ages,139175,8528,18691,375,397,1085,6671,2605,14066,1898,122,15739,735,1243,200,3006,3437,2910,39,358,24691,6.0,913,13687,1811,181,5530,389,36635,0.0,446,,,MISSOURI,2020
52,Under 18,3258,199,486,3,10,13,173,35,393,50,8,415,1,6,3,14,194,5,1,22,193,0.0,80,69,486,135,244,0,521,0.0,184,97.0,1069494.0,MONTANA,2020
53,Total all ages,30254,2147,4028,29,62,110,1946,304,3383,307,34,4395,114,125,32,190,1025,72,5,118,2364,1.0,863,3914,1315,447,2329,3,6583,0.0,184,,,MONTANA,2020
54,Under 18,4634,170,918,2,26,77,65,53,740,108,17,806,4,53,5,95,344,78,0,33,548,0.0,176,43,256,6,153,0,857,1.0,88,72.0,1092666.0,NEBRASKA,2020
55,Total all ages,35682,1675,4765,35,194,256,1190,294,4097,315,59,5765,141,572,25,522,1372,669,24,200,4431,1.0,694,3152,1130,331,1753,9,8354,9.0,88,,,NEBRASKA,2020
56,Under 18,6339,472,653,6,57,194,215,133,449,59,12,1606,3,98,5,135,218,149,29,55,806,8.0,19,62,341,149,259,1,1010,12.0,249,52.0,3130836.0,NEVADA,2020
57,Total all ages,110516,5816,8106,134,360,1189,4133,2148,5284,574,100,19503,409,1399,242,1822,2026,2624,2099,765,10130,26.0,724,9530,1906,224,2032,573,40221,90.0,249,,,NEVADA,2020
58,Under 18,2313,42,163,0,5,6,31,10,126,22,5,405,4,8,3,11,148,1,0,27,196,0.0,7,36,250,96,44,0,858,0.0,14,181.0,1311307.0,NEW HAMPSHIRE,2020
59,Total all ages,35548,655,2724,2,71,107,475,234,2325,143,22,4920,165,456,62,370,1010,126,23,100,4382,1.0,140,3919,1406,1749,799,118,12409,0.0,14,,,NEW HAMPSHIRE,2020
60,Under 18,8448,717,1442,18,42,324,333,336,932,134,40,554,20,40,6,444,362,407,1,94,1771,19.0,35,60,202,3,594,10,1448,2.0,217,577.0,8882371.0,NEW JERSEY,2020
61,Total all ages,168018,8937,16124,164,327,1781,6665,2783,12595,587,159,18869,580,1885,107,2448,2828,3636,300,778,37799,65.0,2658,14316,927,69,7577,143,47699,56.0,217,,,NEW JERSEY,2020
62,Under 18,601,82,69,1,3,19,59,25,32,11,1,132,1,1,0,16,32,21,0,2,27,0.0,18,20,33,0,14,0,133,0.0,0,17.0,930644.0,NEW MEXICO,2020
63,Total all ages,28483,2264,3115,20,42,178,2024,372,2529,191,23,4677,19,99,52,496,1146,327,34,14,1317,0.0,2032,2291,618,6,665,77,9232,2.0,0,,,NEW MEXICO,2020
64,Under 18,6317,809,1816,26,116,317,350,394,1008,383,31,777,19,29,2,308,898,171,0,136,542,0.0,8,58,21,0,95,0,628,0.0,0,453.0,9397374.0,NEW YORK,2020
65,Total all ages,152107,9218,29730,259,694,1744,6521,4088,23644,1786,212,18313,1343,1486,20,2277,9942,2629,167,1092,33690,35.0,295,17047,214,0,1607,137,22865,0.0,0,,,NEW YORK,2020
66,Under 18,6962,648,1936,29,19,326,274,491,1136,276,33,1067,3,67,15,370,240,203,2,25,627,0.0,5,109,52,8,245,0,1307,0.0,33,288.0,8731507.0,NORTH CAROLINA,2020
67,Total all ages,197222,10029,25582,469,199,2157,7204,5724,18340,1274,244,21359,644,2606,629,3429,2562,3295,150,365,33156,17.0,2925,11646,834,836,2525,89,74511,0.0,33,,,NORTH CAROLINA,2020
68,Under 18,3595,90,365,0,12,7,71,53,241,67,4,449,8,31,3,36,153,13,0,26,336,0.0,231,55,450,5,456,0,718,0.0,170,103.0,759161.0,NORTH DAKOTA,2020
69,Total all ages,32614,1010,2931,25,51,64,870,363,2244,305,19,3138,164,542,36,343,477,284,14,81,4593,0.0,408,4454,2655,290,1755,8,9260,1.0,170,,,NORTH DAKOTA,2020
70,Under 18,13308,720,1829,20,63,306,331,373,1197,232,27,3141,5,81,1,331,587,267,0,63,621,0.0,31,43,389,12,820,0,4039,1.0,327,393.0,8804775.0,OHIO,2020
71,Total all ages,140837,7159,19714,293,333,1314,5219,2844,15996,763,111,28780,244,1201,2,1734,2924,4133,246,378,16005,5.0,481,9668,2826,2375,6946,8,35679,2.0,327,,,OHIO,2020
72,Under 18,5110,385,1079,11,13,129,232,220,662,172,25,571,1,28,21,174,202,149,0,26,580,0.0,20,90,66,144,307,0,892,0.0,375,414.0,3927308.0,OKLAHOMA,2020
73,Total all ages,83796,4882,13294,161,144,600,3977,2287,9328,1497,182,7992,390,1032,306,2101,1666,2916,67,318,11428,4.0,411,8516,579,6706,1921,52,18839,1.0,375,,,OKLAHOMA,2020
74,Under 18,4687,302,902,5,30,87,180,182,589,93,38,732,9,35,2,16,381,60,1,34,554,0.0,0,87,307,0,285,0,795,0.0,185,173.0,3624887.0,OREGON,2020
75,Total all ages,98495,4753,16264,68,198,889,3598,2103,11815,1934,412,9750,476,1273,58,587,3750,2068,47,321,8844,1.0,263,9790,1617,2,5707,13,32726,0.0,185,,,OREGON,2020
76,Under 18,176,12,30,1,1,1,9,5,23,2,0,10,0,0,0,4,4,4,0,8,33,0.0,1,2,48,2,4,0,13,0.0,1,102.0,157062.0,PENNSYLVANIA,2020
77,Total all ages,2224,110,333,3,6,14,87,31,289,12,1,146,24,32,1,23,34,60,3,14,639,0.0,57,205,63,64,207,0,208,0.0,1,,,PENNSYLVANIA,2020
78,Under 18,1300,69,221,1,11,13,44,33,134,42,12,197,2,8,1,51,92,51,0,5,66,0.0,17,5,48,0,214,0,235,0.0,18,45.0,1041521.0,RHODE ISLAND,2020
79,Total all ages,19266,967,1741,15,71,95,786,384,1173,150,34,3247,93,213,46,259,816,329,8,55,1392,2.0,56,1977,428,21,1583,0,6015,0.0,18,,,RHODE ISLAND,2020
80,Under 18,5416,485,1181,39,64,147,235,268,795,103,15,974,4,42,14,123,294,268,1,29,826,0.0,8,42,95,30,287,0,687,0.0,26,240.0,4367377.0,SOUTH CAROLINA,2020
81,Total all ages,122532,6630,18917,359,385,912,4974,2556,15208,1033,120,13720,798,2332,203,2336,2594,2914,167,224,25577,23.0,753,10521,3077,3121,7031,432,21136,0.0,26,,,SOUTH CAROLINA,2020
82,Under 18,3842,141,442,1,4,11,125,47,294,96,5,554,2,40,4,62,119,42,0,9,574,0.0,189,80,467,100,298,0,651,0.0,68,117.0,823677.0,SOUTH DAKOTA,2020
83,Total all ages,48621,1974,2364,24,35,68,1847,299,1656,383,26,4974,124,576,18,256,489,272,5,51,7298,1.0,1038,5980,2210,6805,2379,559,11178,2.0,68,,,SOUTH DAKOTA,2020
84,Under 18,12090,885,2463,19,49,267,550,347,1436,659,21,2412,12,76,16,109,578,294,0,65,1415,2.0,17,103,210,79,576,0,2336,0.0,442,443.0,6075815.0,TENNESSEE,2020
85,Total all ages,235233,12729,30012,340,307,1342,10740,3988,22193,3687,144,25563,1311,3533,437,1705,3769,2526,297,412,37188,31.0,1703,17040,1633,8884,3962,9,82047,0.0,442,,,TENNESSEE,2020
86,Under 18,32451,3117,6177,82,253,1158,1624,1063,4053,996,65,6435,55,180,12,97,1033,821,12,148,4297,4.0,165,405,622,318,538,5,6938,0.0,1072,827.0,26746620.0,TEXAS,2020
87,Total all ages,489316,30678,53286,923,1656,5087,23012,7655,39550,5637,444,73456,2553,4706,210,804,6062,12916,1474,1049,82337,155.0,3124,55964,4647,29367,5245,660,119551,0.0,1072,,,TEXAS,2020
88,Under 18,7869,252,1423,5,59,58,130,102,1214,88,19,863,2,34,1,89,588,91,1,124,1325,0.0,16,208,546,40,228,4,1832,0.0,202,103.0,2856632.0,UTAH,2020
89,Total all ages,82809,2631,11356,60,291,345,1935,788,10058,438,72,7849,493,706,35,1152,2778,868,69,498,12474,1.0,1762,8372,2634,1795,1828,36,25269,1.0,202,,,UTAH,2020
90,Under 18,498,37,73,0,11,3,23,24,44,5,0,125,0,1,1,2,56,1,0,10,22,0.0,0,11,25,0,46,0,88,0.0,0,82.0,619602.0,VERMONT,2020
91,Total all ages,11617,749,1287,10,66,34,639,202,995,61,29,1483,39,179,36,78,348,21,1,34,749,0.0,209,1957,52,0,649,0,3746,0.0,0,,,VERMONT,2020
92,Under 18,9118,488,1575,25,65,175,223,210,1166,171,28,1642,14,75,23,101,373,199,0,58,960,2.0,41,81,170,36,206,0,2687,0.0,387,316.0,8511554.0,VIRGINIA,2020
93,Total all ages,201479,6651,20407,336,463,1020,4832,1734,17481,1043,149,26895,1002,3629,776,781,3195,4584,277,493,27090,10.0,1018,16483,1512,12912,1931,67,71379,0.0,387,,,VIRGINIA,2020
94,Under 18,6741,703,1381,10,60,299,334,366,835,153,27,1803,4,22,0,88,659,128,0,64,342,0.0,2,176,329,9,118,1,903,1.0,8,234.0,7554132.0,WASHINGTON,2020
95,Total all ages,143840,8445,21982,186,521,1716,6022,4540,15816,1390,236,23689,467,913,23,3051,4904,1697,210,476,8173,1.0,242,22125,994,68,1867,167,44320,18.0,8,,,WASHINGTON,2020
96,Under 18,384,26,41,1,8,1,16,13,20,8,0,126,0,1,0,4,28,6,0,7,51,0.0,0,4,9,0,12,0,68,0.0,1,131.0,1177351.0,WEST VIRGINIA,2020
97,Total all ages,26652,1294,3491,45,91,82,1076,563,2696,201,31,3489,160,209,18,299,432,407,17,49,6015,0.0,95,2425,208,301,452,7,7283,0.0,1,,,WEST VIRGINIA,2020
98,Under 18,21163,774,2677,21,157,211,385,321,1871,457,28,1336,8,120,45,292,1294,289,3,295,1844,2.0,166,222,1474,0,3533,37,5774,0.0,978,379.0,5543214.0,WISCONSIN,2020
99,Total all ages,179705,7410,18999,198,726,934,5552,1676,15972,1217,134,13904,594,1597,294,1019,4799,3453,149,986,21848,4.0,1616,20135,5863,0,22703,417,52937,0.0,978,,,WISCONSIN,2020
100,Under 18,2544,39,307,0,6,2,31,41,214,45,7,382,0,6,0,10,148,11,0,8,400,0.0,7,33,416,2,92,30,541,5.0,107,53.0,510568.0,WYOMING,2020
101,Total all ages,20581,471,2018,8,41,16,406,211,1640,149,18,1920,19,97,2,50,502,56,3,76,3410,0.0,300,2744,1493,1309,806,83,5110,5.0,107,,,WYOMING,2020
0,Under 18,990,89,173,3,4,40,42,54,79,39,1,179,1,9,0,41,44,54,0,2,137,0.0,2,3,39,,71,0,146,,0,186.0,2265220.0,ALABAMA,2021
1,Total all ages,48349,1192,4058,82,68,166,876,782,2898,354,24,3539,207,471,4,694,683,959,30,51,6628,1.0,135,316,2563,,891,0,25927,,0,,,ALABAMA,2021
2,Under 18,416,60,78,0,21,4,35,45,23,8,2,114,1,0,0,0,43,3,0,8,26,0.0,0,16,18,,6,0,43,,0,28.0,371959.0,ALASKA,2021
3,Total all ages,10525,801,609,14,84,22,681,151,349,96,13,1899,7,19,3,11,323,113,0,45,447,0.0,32,1529,130,,405,1,4151,,0,,,ALASKA,2021
4,Under 18,7301,355,842,12,18,63,262,147,597,77,21,1755,3,27,1,12,525,100,0,41,538,0.0,18,124,406,,684,0,1640,,230,67.0,3568504.0,ARIZONA,2021
5,Total all ages,90161,3619,9573,103,126,363,3027,1153,7622,697,101,11505,194,610,54,314,3285,982,64,178,9457,0.0,351,11932,1909,,8093,129,27682,,230,,,ARIZONA,2021
6,Under 18,6135,457,745,21,40,35,361,194,470,70,11,1469,2,10,0,148,334,118,1,15,719,0.0,3,43,99,,518,0,1282,,172,252.0,2857932.0,ARKANSAS,2021
7,Total all ages,104439,5660,9342,196,285,348,4831,1653,6961,660,68,11540,499,505,26,1663,1688,1139,55,98,16238,9.0,323,5125,1036,,2311,214,46796,,172,,,ARKANSAS,2021
8,Under 18,5267,283,207,5,5,72,201,33,126,41,7,285,0,6,0,29,88,232,1,12,229,0.0,0,30,69,,3,0,3737,,56,14.0,2861998.0,CALIFORNIA,2021
9,Total all ages,80110,4322,3853,70,67,812,3373,910,1981,823,139,8565,162,451,22,1218,1354,2103,363,125,11629,11.0,6,4858,166,,97,322,40427,,56,,,CALIFORNIA,2021
10,Under 18,9006,600,1184,29,60,140,371,142,791,208,43,1436,7,47,8,24,725,289,0,85,974,0.0,13,210,564,,747,0,1937,,156,203.0,5678716.0,COLORADO,2021
11,Total all ages,154110,8403,19517,229,437,1164,6573,2430,12741,4044,302,15902,369,1638,72,981,5469,2535,205,385,10203,2.0,2149,17037,3000,,4314,89,61684,,156,,,COLORADO,2021
12,Under 18,3523,196,615,9,13,90,84,82,313,208,12,830,3,29,3,65,175,158,0,26,125,0.0,13,25,9,,684,0,566,,1,107.0,3605597.0,CONNECTICUT,2021
13,Total all ages,69831,2346,7356,111,129,517,1589,986,5654,669,47,14977,212,450,66,245,1602,1181,32,267,3444,10.0,2063,6133,67,,8489,109,20781,,1,,,CONNECTICUT,2021
14,Under 18,1651,230,244,4,8,80,138,71,115,52,6,469,1,26,2,95,68,68,0,18,113,0.0,1,0,12,,70,0,229,,4,53.0,1001629.0,DELAWARE,2021
15,Total all ages,25043,1752,3454,32,71,273,1376,447,2801,186,20,5475,98,952,79,344,874,424,10,106,3566,4.0,163,324,345,,936,105,6026,,4,,,DELAWARE,2021
16,Under 18,148,45,11,0,0,35,10,0,8,3,0,36,0,0,0,1,4,17,0,0,2,0.0,0,0,0,,7,0,25,,0,1.0,,WASHINGTON DC,2021
17,Total all ages,2002,209,80,1,0,107,101,1,69,9,1,441,1,1,0,14,73,60,0,30,103,0.0,3,5,233,,203,0,546,,0,,,WASHINGTON DC,2021
18,Under 18,19,3,3,0,0,2,1,0,2,1,0,7,0,0,0,1,0,0,0,0,0,0.0,0,0,0,,0,0,4,,1,2.0,,FLORIDA,2021
19,Total all ages,927,49,115,0,5,17,27,10,92,13,0,199,5,16,1,21,13,21,0,0,104,0.0,11,30,1,,15,2,323,,1,,,FLORIDA,2021
20,Under 18,9286,768,1580,40,57,168,503,170,1055,338,17,1985,26,98,1,196,375,364,0,109,907,0.0,29,140,87,,638,0,1854,,129,380.0,7950625.0,GEORGIA,2021
21,Total all ages,157237,8440,15401,383,361,798,6898,1745,12264,1276,116,17511,887,3139,29,1763,3449,2753,175,548,27358,8.0,972,18504,1531,,7298,1207,46135,,129,,,GEORGIA,2021
22,Under 18,971,78,77,0,18,27,33,15,52,9,1,319,0,0,0,19,3,4,0,19,69,0.0,0,17,24,,17,0,288,,37,2.0,1059012.0,HAWAII,2021
23,Total all ages,27741,666,1447,8,76,149,433,204,1141,73,29,3754,60,170,7,488,83,94,30,95,985,38.0,12,2471,1365,,593,337,15009,,37,,,HAWAII,2021
24,Under 18,4393,150,526,2,32,6,110,87,367,57,15,573,1,26,2,12,208,75,0,46,663,0.0,10,88,162,,214,0,1539,,98,80.0,1661136.0,IDAHO,2021
25,Total all ages,46857,1621,2859,25,127,62,1407,565,2078,181,35,3442,75,390,34,166,710,324,15,194,9686,0.0,457,7017,992,,1283,5,17489,,98,,,IDAHO,2021
26,Under 18,2729,163,428,2,3,34,124,73,312,38,5,679,4,47,3,25,189,133,0,5,319,0.0,3,25,77,,199,0,356,,74,118.0,2407151.0,ILLINOIS,2021
27,Total all ages,38027,1761,4208,43,72,184,1462,568,3423,164,53,7414,104,712,35,141,1649,1284,11,33,4101,0.0,156,4388,463,,1144,1,10348,,74,,,ILLINOIS,2021
28,Under 18,6641,538,889,20,28,173,317,107,563,208,11,1466,7,23,2,47,162,244,0,48,640,0.0,4,38,248,,256,0,1933,,96,129.0,4671815.0,INDIANA,2021
29,Total all ages,100461,4338,9430,140,170,623,3405,1101,7121,1143,65,12264,214,750,78,483,564,3201,81,313,17532,3.0,347,11840,1145,,2308,3,35471,,96,,,INDIANA,2021
30,Under 18,6490,476,1302,7,79,67,323,199,827,253,23,1755,14,60,6,74,528,96,1,18,726,0.0,3,78,357,,162,0,833,,1,178.0,2825401.0,IOWA,2021
31,Total all ages,68342,4868,7780,41,263,218,4346,1046,5824,824,86,8587,275,756,62,288,1951,740,23,98,8378,7.0,456,8841,1509,,662,6,23054,,1,,,IOWA,2021
32,Under 18,3629,152,522,6,22,12,112,64,386,51,21,850,4,11,0,24,247,19,1,17,623,0.0,10,92,254,,132,0,671,,0,192.0,1850993.0,KANSAS,2021
33,Total all ages,50774,1895,3965,45,97,105,1648,448,3160,305,52,6798,111,270,25,431,1593,352,37,106,8668,0.0,185,5766,1215,,1118,0,18239,,0,,,KANSAS,2021
34,Under 18,2520,282,429,26,27,120,109,125,199,98,7,610,6,14,1,351,100,83,0,21,266,0.0,2,8,0,,23,0,324,,0,426.0,4505498.0,KENTUCKY,2021
35,Total all ages,177379,3428,9500,219,252,607,2350,2123,6534,778,65,11215,506,1057,177,2630,1302,704,15,214,20758,8.0,3990,12426,20,,3307,17,106105,,0,,,KENTUCKY,2021
36,Under 18,8115,466,1207,36,16,52,362,344,688,166,9,1712,3,12,0,160,289,285,1,34,675,2.0,1,6,55,,1535,0,1552,,120,113.0,3042729.0,LOUISIANA,2021
37,Total all ages,72217,5727,12423,213,141,295,5078,2204,9353,823,43,11605,197,348,67,1504,2301,1937,141,198,16284,47.0,297,2261,655,,3249,7,12849,,120,,,LOUISIANA,2021
38,Under 18,1556,57,325,3,17,15,22,69,192,43,21,363,0,6,1,5,185,4,0,19,106,0.0,1,23,166,,49,0,235,,11,127.0,1360671.0,MAINE,2021
39,Total all ages,29060,686,3660,16,69,72,529,352,3047,203,58,4308,68,222,15,100,948,127,5,70,2807,1.0,87,4318,623,,804,1,10199,,11,,,MAINE,2021
40,Under 18,2488,291,447,8,31,128,124,79,241,121,6,812,2,7,3,18,197,63,0,27,120,0.0,1,4,43,,56,0,395,,2,16.0,2189086.0,MARYLAND,2021
41,Total all ages,28784,2298,3247,66,148,511,1573,605,2247,364,31,3325,55,162,52,131,532,624,45,100,2557,0.0,178,3312,305,,580,14,11265,,2,,,MARYLAND,2021
42,Under 18,3561,463,448,3,18,63,379,138,207,77,26,1118,4,19,0,103,215,141,0,33,59,0.0,12,17,75,,103,0,751,,0,368.0,6929534.0,MASSACHUSETTS,2021
43,Total all ages,81377,7168,6189,61,283,582,6242,1242,4347,523,77,16333,201,648,35,681,1980,1298,151,294,5361,38.0,835,7422,679,,2172,8,29884,,0,,,MASSACHUSETTS,2021
44,Under 18,7136,740,1061,15,114,112,499,234,574,226,27,1955,1,62,26,207,443,426,4,91,237,0.0,4,118,102,,208,0,1339,,112,611.0,9780531.0,MICHIGAN,2021
45,Total all ages,155832,12718,13261,379,852,887,10600,2090,9716,1259,196,25996,283,1626,623,2159,2791,10148,104,561,12411,43.0,774,21397,2803,,3344,34,44644,,112,,,MICHIGAN,2021
46,Under 18,11084,689,1223,9,91,256,333,149,901,153,20,1426,11,83,14,207,311,240,0,60,652,3.0,1,192,2299,,1308,0,1830,,535,361.0,5590467.0,MINNESOTA,2021
47,Total all ages,126675,5339,15329,134,520,803,3882,1759,12530,913,127,12479,650,2396,64,2050,2230,2426,71,448,13693,14.0,148,19198,6431,,6631,2401,34140,,535,,,MINNESOTA,2021
48,Under 18,2083,113,284,12,13,46,42,63,184,37,0,303,2,10,8,44,146,104,0,6,188,0.0,34,46,22,,301,0,446,,26,130.0,1663780.0,MISSISSIPPI,2021
49,Total all ages,49859,1070,4162,82,81,143,764,594,3268,275,25,4480,118,471,217,582,675,869,17,53,8271,8.0,559,6928,288,,3437,17,17611,,26,,,MISSISSIPPI,2021
50,Under 18,8256,790,1093,17,56,170,547,183,670,224,16,1591,8,39,5,219,436,158,0,40,857,0.0,17,129,311,,690,0,1553,,320,326.0,5208452.0,MISSOURI,2021
51,Total all ages,133059,8104,15138,254,344,860,6646,2204,10829,1965,140,14790,738,1276,173,2076,3267,2224,71,213,23624,13.0,820,14567,2240,,4924,140,38341,,320,,,MISSOURI,2021
52,Under 18,3085,122,403,1,8,16,97,29,311,45,18,520,3,4,0,12,175,8,0,18,63,0.0,67,90,390,,312,0,707,,191,98.0,1043486.0,MONTANA,2021
53,Total all ages,26923,1762,3734,22,69,103,1568,298,3067,318,51,4820,92,147,28,230,848,52,3,122,1676,0.0,449,4037,1001,,2177,22,5532,,191,,,MONTANA,2021
54,Under 18,4424,121,588,2,16,29,74,68,409,94,17,1007,1,43,9,16,424,35,0,40,610,0.0,218,60,298,,97,0,765,,92,131.0,1315324.0,NEBRASKA,2021
55,Total all ages,38036,1669,2870,20,119,90,1440,245,2369,207,49,4255,141,411,21,233,1328,481,29,119,7242,2.0,542,4767,1873,,1530,620,9811,,92,,,NEBRASKA,2021
